,PROCUREMENT,,,,,,,,,,,,,,
Sl No.,IOM Version,Project,Package,Scope of work,Awarded Vendor name,Budget incl Escalation,Total Finalized Proposed Award Value (Excl Tax),Expected (-) Savings / (+) Escalations w.r.t Budget incl. escalation,Basis of award,TES/ Non-TES,Requisition Date,Finalization Date,TAT,Time Period,Delay
65,IOMP20260519063945,Godrej Ushti 1,Civil - RMC,Supply of RMC of M35 Grade & M10 Grade (May'26 & June' 26),M/s Ultratech Cement Limited,0.2555,0.54616,0.00000 %,L1,,,,,,
66,IOMP20260519063945,Godrej Ushti 1,Civil - RMC,Supply of RMC of M35 Grade & M10 Grade (May'26 & June' 26),Right Choice Concrete & Eng Private Limited,0.29066,0.54616,0.00000 %,L1,,,,,,
67,IOMP20260521070356,Godrej Ushti 1,Infrastructure - General,Supply of Brick Bats for Temporary Road Work,MIDAAS CONSTRUCTION COMPANY PRIVATE LIMITED,0.3113,0.275,-11.66078 %,L1,,,,,,
68,IOMP20260525011828,Godrej Ushti 1,Infrastructure - General,Supply of Stone Dust & Stone Aggregate for Road Work,MIDAAS CONSTRUCTION COMPANY PRIVATE LIMITED,0.5391,0.4973,-7.75366 %,L1,,,,,,
69,IOMP20260616040959,Godrej Ushti 1,Civil - Steel Rebar,Supply of Reinforcement Steel (June'26),Shakambhari Ispat & Power Ltd,0.396,0.3509,-11.38889 %,L1,,,,,,
70,IOMP20260629101300,Godrej Ushti 1,Miscellaneous / other works,Supply of MS Plate from Roof Truss for Main Gate - 02 & Banquet Hall,ROY ENGINEERING,0.0067,0.006,-10.44776 %,L1,,,,,,
71,IOMP20260702081120,Godrej Ushti 1,Miscellaneous / other works,Supply of MS Structural Steel for Roof Truss of Main Banquet & Main Gate - 02,Steeltube Agencies,0.1104,0.1045,-5.34420 %,L1,,,,,,
72,IOMP20260808121155,Godrej Ushti 1,Civil - RMC,Procurement of RMC (M10 Grade) for Aug'26,Right Choice Concrete & Eng Private Limited,0.0451,0.0449,-0.44346 %,L1,,,,,,
73,IOMP20260330114617,Raipur Plotted 1,Civil - RMC,Supply of RMC (M30 PQC Grade) for April' 26,M/s Shree Cement,0.034,0.034,0.00000 %,L1,,,,,,
74,IOMP20260411021131,Raipur Plotted 1,MEP - Plumbing and Fire fighting equipments and fittings,Appointment of vendor for Procurement of DWC Pipe (Godrej Raipur Plotted-1 Project),AMRITA ENTERPRISE,0.7217,0.7217,0.00000 %,L1,,,,,,
75,IOMP20260511020014,Raipur Plotted 1,MEP - Plumbing and Fire fighting equipments and fittings,"Appointment of vendor for Procurement of DWC & HDPE Pipe for Parcel 1,2 &3 at Godrej Raipur Plotted-1, Chhattis",AMRITA ENTERPRIS,0.717,0.717,0.00000 %,L1,,,,,,
76,IOMP20260526020724,Raipur Plotted 1,Civil - Steel Rebar,Basic Rate finalization for Procurement of Reinforcement Steel (June'26) for M/s Vinod Kumar Jain & M/s Aquaplast Infraprojects,Shree Nakoda Ispat Ltd,0.451,0.3855,-14.52328 %,L1,,,,,,
77,IOMP20260827120211,Raipur Plotted 1,MEP - Plumbing and Fire fighting equipments and fittings,Procurement of HDPE Manhole Chamber & allied fittings for Godrej Greenvale_ Raipur Plotted-1.,AMRITA ENTERPRISE,0.535,0.5198,-2.84112 %,L1,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
